Date,Open,High,Low,Close,Adj Close,Volume
2024-02-01,179.899994,183.250000,168.199997,170.050003,170.050003,10918660
2024-02-02,172.500000,174.850006,167.000000,168.949997,168.949997,10445310
2024-02-05,169.199997,170.149994,159.899994,160.500000,160.500000,13483130
2024-02-06,161.149994,164.199997,152.100006,160.899994,160.899994,6635413
2024-02-07,164.300003,165.800003,159.649994,162.449997,162.449997,6348117
2024-02-08,164.399994,164.399994,160.649994,162.000000,162.000000,2781333
2024-02-09,162.000000,162.100006,149.050003,153.699997,153.699997,12524650
2024-02-12,150.699997,150.949997,130.199997,133.000000,133.000000,24981270
2024-02-13,130.750000,156.250000,128.000000,153.399994,153.399994,37279690
2024-02-14,153.949997,157.350006,145.449997,154.350006,154.350006,13671150
2024-02-15,156.500000,161.500000,154.899994,158.800003,158.800003,11989670
2024-02-16,160.149994,161.500000,154.949997,155.350006,155.350006,4656488
2024-02-19,156.000000,164.399994,154.350006,158.699997,158.699997,7138898
2024-02-20,159.949997,160.699997,157.050003,158.449997,158.449997,4955896
2024-02-21,158.699997,160.300003,153.500000,154.250000,154.250000,3076323
2024-02-22,154.350006,155.800003,149.149994,152.100006,152.100006,6435447
2024-02-23,153.699997,156.449997,152.699997,153.300003,153.300003,3248404
2024-02-26,154.399994,156.300003,151.899994,152.350006,152.350006,5921719
2024-02-27,152.699997,156.500000,151.000000,151.600006,151.600006,7549818
2024-02-28,152.250000,153.500000,145.500000,147.399994,147.399994,6624219
2024-02-29,146.750000,150.250000,140.800003,146.699997,146.699997,9433076
2024-03-01,148.250000,151.449997,146.500000,147.350006,147.350006,1969375
2024-03-04,149.149994,149.550003,144.649994,145.550003,145.550003,1679279
2024-03-05,145.050003,148.399994,143.649994,145.050003,145.050003,3839996
2024-03-06,145.000000,145.949997,140.000000,140.500000,140.500000,4118471
2024-03-07,141.050003,144.350006,139.649994,143.699997,143.699997,3949925
2024-03-11,143.750000,147.199997,140.000000,141.149994,141.149994,4348644
2024-03-12,141.600006,142.899994,135.649994,136.750000,136.750000,5999390
2024-03-13,136.050003,138.800003,123.000000,124.199997,124.199997,16385530
2024-03-14,121.349998,142.600006,116.699997,140.300003,140.300003,16421680
2024-03-15,141.000000,145.850006,133.449997,136.800003,136.800003,16221350
2024-03-18,138.600006,139.600006,132.850006,134.850006,134.850006,4647242
2024-03-19,134.949997,137.300003,133.199997,135.300003,135.300003,4435590
2024-03-20,136.100006,138.000000,132.850006,133.149994,133.149994,6585845
2024-03-21,136.699997,137.500000,134.800003,135.250000,135.250000,3232083
2024-03-22,136.000000,145.000000,135.000000,140.949997,140.949997,13493970
2024-03-26,142.399994,148.649994,140.899994,145.750000,145.750000,13471700
2024-03-27,147.800003,150.899994,141.750000,142.899994,142.899994,10300370
2024-03-28,145.149994,147.500000,141.300003,142.399994,142.399994,7939999
2024-04-01,145.000000,146.699997,143.800003,144.800003,144.800003,5959577
2024-04-02,145.850006,148.149994,144.199997,146.050003,146.050003,6633828
2024-04-03,145.649994,147.800003,144.649994,145.300003,145.300003,3203966
2024-04-04,147.000000,148.250000,143.600006,143.800003,143.800003,5507865
2024-04-05,144.199997,149.350006,142.800003,147.850006,147.850006,9761302
2024-04-08,150.850006,152.600006,147.000000,147.550003,147.550003,6730691
2024-04-09,149.050003,149.399994,145.550003,147.149994,147.149994,4948202
2024-04-10,147.899994,148.500000,146.449997,146.649994,146.649994,1655206
2024-04-12,146.850006,147.699997,145.000000,145.350006,145.350006,1828605
2024-04-15,120.050003,141.800003,120.050003,140.250000,140.250000,10771550
2024-04-16,139.649994,142.600006,137.949997,141.699997,141.699997,4223993
2024-04-18,143.600006,145.500000,141.600006,141.899994,141.899994,3578170
2024-04-19,140.000000,142.199997,137.500000,141.000000,141.000000,2130782
2024-04-22,142.850006,145.000000,142.300003,144.100006,144.100006,3870637
2024-04-23,144.899994,148.000000,143.600006,147.699997,147.699997,5694243
2024-04-24,149.000000,150.399994,147.500000,148.949997,148.949997,3286484
2024-04-25,149.050003,152.000000,147.750000,150.250000,150.250000,3254356
2024-04-26,151.250000,159.000000,149.649994,158.050003,158.050003,15784500
2024-04-29,161.500000,164.000000,159.649994,160.850006,160.850006,8424525
2024-04-30,161.949997,161.949997,156.600006,157.250000,157.250000,3351777
2024-05-02,158.600006,161.100006,156.050003,158.949997,158.949997,5342717
